Linux 5.3.18.oslab2 (oslab2) 	2021년 08월 27일 	_x86_64_	(10 CPU)

10시 12분 40초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10시 14분 40초  all   27.84    0.00   42.49    0.00    0.00   29.59    0.00    0.00    0.00    0.07
10시 14분 40초    0   27.24    0.00   42.54    0.00    0.00   30.21    0.00    0.00    0.00    0.01
10시 14분 40초    1   28.10    0.00   43.55    0.00    0.00   28.27    0.00    0.00    0.00    0.08
10시 14분 40초    2   33.75    0.00   53.05    0.00    0.00   13.18    0.00    0.00    0.00    0.02
10시 14분 40초    3   33.42    0.00   51.81    0.00    0.00   14.67    0.00    0.00    0.00    0.10
10시 14분 40초    4   33.23    0.00   53.68    0.00    0.00   13.09    0.00    0.00    0.00    0.00
10시 14분 40초    5   22.59    0.00   30.81    0.00    0.00   46.39    0.00    0.00    0.00    0.21
10시 14분 40초    6   22.21    0.00   32.63    0.00    0.00   45.00    0.00    0.00    0.00    0.15
10시 14분 40초    7   22.35    0.00   31.72    0.00    0.00   45.89    0.00    0.00    0.00    0.04
10시 14분 40초    8   27.80    0.00   42.73    0.00    0.00   29.46    0.00    0.00    0.00    0.01
10시 14분 40초    9   27.76    0.00   42.35    0.00    0.00   29.78    0.00    0.00    0.00    0.11

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   27.84    0.00   42.49    0.00    0.00   29.59    0.00    0.00    0.00    0.07
Average:       0   27.24    0.00   42.54    0.00    0.00   30.21    0.00    0.00    0.00    0.01
Average:       1   28.10    0.00   43.55    0.00    0.00   28.27    0.00    0.00    0.00    0.08
Average:       2   33.75    0.00   53.05    0.00    0.00   13.18    0.00    0.00    0.00    0.02
Average:       3   33.42    0.00   51.81    0.00    0.00   14.67    0.00    0.00    0.00    0.10
Average:       4   33.23    0.00   53.68    0.00    0.00   13.09    0.00    0.00    0.00    0.00
Average:       5   22.59    0.00   30.81    0.00    0.00   46.39    0.00    0.00    0.00    0.21
Average:       6   22.21    0.00   32.63    0.00    0.00   45.00    0.00    0.00    0.00    0.15
Average:       7   22.35    0.00   31.72    0.00    0.00   45.89    0.00    0.00    0.00    0.04
Average:       8   27.80    0.00   42.73    0.00    0.00   29.46    0.00    0.00    0.00    0.01
Average:       9   27.76    0.00   42.35    0.00    0.00   29.78    0.00    0.00    0.00    0.11
