Linux 5.3.18.oslab2 (oslab2) 	2021년 08월 27일 	_x86_64_	(10 CPU)

10시 12분 40초   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10시 14분 40초     0     17144   28.54   71.21    0.00    0.22   99.75     3  netperf
10시 14분 40초     0     17189    8.55   23.52    0.00   59.96   32.07     6  netperf
10시 14분 40초     0     17251   12.00   38.21    0.00   49.79   50.20     1  netperf
10시 14분 40초     0     17286    7.59   19.11    0.00   54.52   26.70     9  netperf
10시 14분 40초     0     17340    7.85   20.02    0.00   55.62   27.87     6  netperf
10시 14분 40초     0     17385   11.89   37.27    0.00   50.88   49.16     5  netperf
10시 14분 40초     0     17430   11.12   35.35    0.00   53.58   46.47     6  netperf
10시 14분 40초     0     17471   12.20   39.36    0.00   48.43   51.55     1  netperf
10시 14분 40초     0     17508   12.61   37.37    0.00   50.07   49.97     5  netperf
10시 14분 40초     0     17560   11.04   34.07    0.00   54.87   45.11     9  netperf
10시 14분 40초     0     17602    8.92   24.04    0.00   53.43   32.96     6  netperf
10시 14분 40초     0     17646    8.13   21.86    0.00   54.05   29.99     6  netperf
10시 14분 40초     0     17699   11.10   32.80    0.00   56.15   43.90     7  netperf
10시 14분 40초     0     17731   26.18   73.56    0.00    0.25   99.74     2  netperf
10시 14분 40초     0     17794   28.71   71.17    0.00    0.12   99.88     4  netperf
10시 14분 40초     0     17823   32.55   67.35    0.00    0.07   99.90     8  netperf
10시 14분 40초     0     17864   32.18   67.61    0.00    0.20   99.78     0  netperf

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0     17144   28.54   71.21    0.00    0.22   99.75     -  netperf
Average:        0     17189    8.55   23.52    0.00   59.96   32.07     -  netperf
Average:        0     17251   12.00   38.21    0.00   49.79   50.20     -  netperf
Average:        0     17286    7.59   19.11    0.00   54.52   26.70     -  netperf
Average:        0     17340    7.85   20.02    0.00   55.62   27.87     -  netperf
Average:        0     17385   11.89   37.27    0.00   50.88   49.16     -  netperf
Average:        0     17430   11.12   35.35    0.00   53.58   46.47     -  netperf
Average:        0     17471   12.20   39.36    0.00   48.43   51.55     -  netperf
Average:        0     17508   12.61   37.37    0.00   50.07   49.97     -  netperf
Average:        0     17560   11.04   34.07    0.00   54.87   45.11     -  netperf
Average:        0     17602    8.92   24.04    0.00   53.43   32.96     -  netperf
Average:        0     17646    8.13   21.86    0.00   54.05   29.99     -  netperf
Average:        0     17699   11.10   32.80    0.00   56.15   43.90     -  netperf
Average:        0     17731   26.18   73.56    0.00    0.25   99.74     -  netperf
Average:        0     17794   28.71   71.17    0.00    0.12   99.88     -  netperf
Average:        0     17823   32.55   67.35    0.00    0.07   99.90     -  netperf
Average:        0     17864   32.18   67.61    0.00    0.20   99.78     -  netperf
